4,8
5,19,11,9,7,4,21,6,23,28,10,3,24,1,30,26,22,12,27,13,0,2,20,15,25,14,8,29,18,16,31,17,30,110
18,3,19,14,26,25,5,8,13,11,27,16,2,6,22,31,20,12,0,17,1,21,23,24,7,9,10,30,4,29,28,15,29,90
18,10,11,26,30,17,21,6,8,27,31,28,20,0,19,5,12,24,2,1,4,14,23,16,13,25,3,9,22,29,15,7,31,104
9,21,15,13,28,14,5,6,24,2,29,11,19,20,16,30,7,17,0,27,23,10,8,22,25,31,18,26,1,3,12,4,31,104
20,7,8,23,5,22,14,6,9,27,11,26,19,13,16,24,0,31,10,17,15,2,3,12,30,1,25,4,18,21,28,29,29,96
29,25,17,21,5,1,4,13,19,10,2,23,11,0,14,6,12,22,7,3,24,28,8,26,18,27,9,30,16,20,15,31,30,98
3,6,9,25,24,14,29,22,27,17,15,28,10,16,7,5,0,30,21,11,4,13,2,31,19,26,12,1,18,23,8,20,31,102
16,25,11,28,3,9,1,17,26,22,13,23,8,21,24,15,6,18,0,7,29,19,5,10,27,2,12,20,30,14,4,31,31,108
20,6,1,13,14,2,15,24,19,31,23,27,7,0,8,25,26,17,28,9,3,29,4,5,10,21,30,22,16,18,11,12,32,114
23,28,1,13,4,26,6,10,11,9,2,19,21,0,24,30,22,25,8,27,14,3,18,7,31,12,17,29,16,20,15,5,32,108
