8,8
1,2,3,4,5,15,6,8,9,10,11,12,13,16,0,24,17,18,19,20,21,7,14,22,25,26,27,28,30,45,23,32,33,34,35,36,29,39,31,40,41,42,43,44,54,37,46,48,49,50,51,52,38,53,47,56,57,58,59,60,61,62,55,63,22,33
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,40,33,34,35,36,37,30,55,54,41,42,44,45,0,46,38,39,49,50,43,51,53,61,63,47,57,58,59,52,60,62,56,48,20,29
1,2,3,4,5,6,7,8,9,10,11,13,21,14,15,16,17,26,18,19,12,22,23,24,33,25,27,29,0,38,31,32,42,35,28,20,30,36,39,40,34,50,43,44,37,46,47,48,41,58,51,52,45,54,55,56,49,57,59,60,53,61,62,63,29,35
1,2,3,4,5,6,7,8,9,10,11,12,13,30,14,15,17,18,19,20,21,0,22,16,25,26,27,28,29,38,31,24,33,34,35,36,46,45,23,39,41,42,43,44,37,55,54,32,49,50,51,52,62,47,48,40,57,58,59,60,53,61,63,56,23,33
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,47,48,55,57,49,50,53,46,56,62,63,58,51,59,52,54,60,0,61,18,27
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,38,30,39,33,34,35,36,37,46,32,31,41,42,43,52,44,47,40,48,49,50,51,61,60,45,54,56,0,57,58,59,53,62,63,55,20,27
10,1,3,4,5,6,7,8,9,2,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,0,28,37,29,31,32,25,41,35,44,36,30,38,39,34,33,42,43,45,46,47,40,49,50,51,52,53,54,63,48,57,58,59,60,61,62,56,55,24,29
1,3,4,12,6,13,7,8,9,2,10,20,5,22,14,16,18,19,11,21,29,31,15,24,17,25,27,28,0,30,23,32,33,26,35,36,37,38,39,40,41,34,42,43,45,46,47,48,49,50,51,44,53,54,55,56,57,58,59,52,60,61,62,63,32,33
1,2,3,4,5,6,7,8,9,10,12,19,13,14,16,24,25,17,18,11,21,23,15,32,33,26,28,20,37,29,22,31,41,34,27,35,36,30,39,40,49,42,43,44,45,38,47,48,57,50,51,52,53,46,55,56,0,58,59,60,61,54,62,63,31,33
1,2,4,12,5,6,7,8,9,10,3,13,14,22,15,16,17,18,11,19,28,23,24,32,25,26,27,21,20,29,30,40,33,34,35,36,37,38,31,48,41,42,43,44,45,46,55,63,49,50,51,52,53,54,39,0,57,58,59,60,61,62,56,47,25,33
