6,6
1,5,4,6,21,12,8,3,16,28,17,9,0,27,11,29,34,18,2,26,13,33,35,24,14,15,20,32,30,23,25,31,7,22,19,10,33,86
14,27,7,4,0,6,1,12,9,3,17,11,2,8,28,24,18,5,25,19,20,16,10,23,21,13,32,31,22,29,15,26,33,34,35,30,30,64
2,10,1,4,6,5,14,7,9,17,34,24,31,3,16,12,11,29,13,25,32,15,8,30,20,27,0,21,22,23,26,19,28,35,18,33,34,72
7,33,10,11,12,4,2,0,8,5,16,15,34,19,20,9,18,21,3,32,14,26,1,6,13,25,17,30,24,23,27,31,29,22,35,28,35,90
7,3,11,9,18,16,10,1,13,6,17,5,22,15,8,25,23,12,33,0,32,21,28,19,27,31,35,14,26,4,20,34,2,30,24,29,36,96
1,2,15,17,6,24,14,7,4,12,18,11,9,27,10,13,16,3,21,32,28,8,5,30,19,29,0,31,20,22,26,33,34,25,23,35,34,76
1,13,24,5,17,12,7,4,2,16,29,18,8,25,32,14,9,6,21,10,15,0,28,35,27,22,26,11,3,23,34,20,31,19,30,33,34,86
22,1,15,10,3,5,2,7,21,11,9,24,14,33,16,17,12,28,18,13,4,23,25,0,26,8,27,30,29,6,20,19,31,34,35,32,32,76
7,3,17,5,12,11,6,1,2,8,34,30,0,19,23,15,22,4,25,13,10,14,33,21,27,16,31,28,18,29,20,26,9,32,35,24,34,84
14,9,4,6,16,22,8,7,12,10,24,17,15,1,3,11,5,27,26,31,33,32,20,18,25,28,13,35,0,23,21,2,30,19,34,29,34,88
