8,8
1,2,3,4,5,14,6,7,9,10,11,12,13,22,16,8,17,18,19,20,21,15,23,24,25,26,27,28,29,30,37,38,33,34,35,36,45,47,39,31,41,42,43,44,46,40,32,0,49,50,51,52,53,54,62,48,57,58,59,60,61,63,55,56,21,32
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,32,54,39,33,34,35,36,37,38,30,31,41,42,43,0,63,44,40,47,49,50,51,52,60,53,56,48,57,58,59,45,55,46,61,62,19,38
1,2,3,4,5,14,6,7,9,10,11,12,13,22,15,8,17,18,19,20,21,23,31,16,25,26,27,28,38,29,39,24,33,34,35,36,30,46,40,48,41,42,43,44,37,54,61,0,49,50,51,52,45,56,63,32,57,58,59,60,55,53,47,62,28,40
2,3,11,4,6,14,7,8,1,10,19,12,13,5,15,16,9,18,20,28,22,30,23,24,17,26,27,29,36,21,31,32,25,34,43,35,0,38,39,40,33,41,42,44,46,45,47,48,49,57,52,60,37,55,62,56,51,50,58,59,53,61,54,63,40,48
1,2,3,4,5,16,6,8,9,10,19,11,12,0,14,15,17,18,20,13,21,30,22,7,25,26,27,28,38,37,29,23,33,34,35,36,46,54,31,24,41,42,43,44,45,47,32,40,49,50,51,52,53,55,39,48,57,58,59,60,61,62,63,56,28,42
1,2,3,5,6,14,7,15,9,11,12,4,13,22,16,24,0,18,10,20,21,30,8,23,17,26,19,28,37,29,31,32,25,34,27,36,45,38,39,40,33,43,51,44,35,46,47,48,41,42,59,49,52,53,54,56,57,58,50,60,61,62,55,63,36,44
1,10,2,11,5,6,7,8,18,17,4,3,12,14,15,16,25,9,19,20,13,22,23,24,33,27,28,0,21,30,39,31,34,26,43,36,29,38,32,40,42,35,51,44,37,45,47,55,41,57,50,52,53,63,48,56,58,49,59,60,61,46,54,62,39,54
1,2,11,3,4,5,6,7,9,10,19,12,13,23,15,8,17,18,0,20,21,14,22,16,25,26,27,28,29,30,31,24,33,34,35,36,37,55,40,32,41,42,44,51,38,45,54,48,49,50,43,52,53,47,39,56,57,58,59,60,61,46,62,63,28,36
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,26,17,19,20,22,30,23,24,25,18,27,29,21,38,31,32,33,34,35,28,45,37,39,40,49,41,43,36,54,53,46,47,0,57,42,50,44,61,56,48,58,51,59,52,60,63,62,55,33,42
1,2,11,3,4,7,15,8,9,10,12,20,6,0,5,16,17,19,27,21,13,14,30,23,26,33,18,36,29,31,22,24,25,51,44,37,28,38,39,32,41,35,34,43,45,46,56,40,49,42,50,52,53,54,48,47,57,58,59,60,61,62,55,63,41,56
