4,8
9,1,3,6,14,21,7,8,17,2,10,5,13,15,23,16,26,25,11,4,20,24,31,30,18,19,27,12,28,22,29,0,25,40
1,3,0,14,22,4,7,8,10,9,11,5,29,6,15,16,25,2,19,28,13,20,23,24,18,17,26,27,12,21,30,31,23,36
0,10,17,2,3,4,5,7,1,9,11,14,24,22,6,8,26,25,13,19,12,21,15,16,27,28,18,29,20,30,23,31,30,50
1,2,3,5,6,14,22,8,10,9,17,4,12,0,7,15,25,18,11,29,20,21,31,16,26,27,13,19,28,30,24,23,26,36
2,3,12,11,5,14,6,7,1,10,18,21,4,30,15,8,9,17,20,13,0,31,23,22,25,26,19,27,28,29,24,16,26,36
1,10,2,14,15,13,7,6,9,3,11,5,12,22,30,8,17,18,27,19,4,24,23,16,25,26,28,0,20,21,29,31,23,38
9,1,2,4,13,5,8,31,26,19,10,12,3,7,14,23,18,25,11,20,21,16,24,15,17,27,28,29,30,0,22,6,28,46
1,2,3,20,4,6,7,16,9,10,11,28,12,5,15,0,25,17,19,22,30,8,31,24,27,18,26,21,29,13,23,14,20,34
1,2,20,11,12,29,14,8,9,10,3,21,4,13,5,6,18,19,0,30,28,22,7,15,17,25,26,27,23,31,16,24,26,48
1,2,3,8,20,13,15,7,17,0,10,11,4,5,16,24,18,9,28,21,12,23,14,31,25,26,19,27,29,30,22,6,25,42
